name,town,category,discontinued
Svaneke Slagter ApS,"Vigebakke 1A, 3740 Svaneke",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
NAKA A/S,"Vestermarksvej 2, Kragelund, 8723 Løsning",Kho lạnh bảo quản; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Delika Aalborg A/S,"Middelfartvej 2, 9220 Aalborg Øst",Kho lạnh bảo quản; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Sticks N Sushi,"Fjeldhammervej 15, 2610 Rødovre",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến sản phẩm thủy sản tươi sống,
SU'VI:T Aps,"Falstervej 19, 5800 Nyborg",Kho lạnh bảo quản; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
SLAGTER LUND APS,"Nyholms Alle 35, 2610 Rødovre",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Aarstidernes Varme Værksted,"Kertemindevej 11, 8940 Randers SV",Kho lạnh bảo quản; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống; Cơ sở tách thịt thủy sản bằng cơ học,
E. LAMPE PØLSEGÅRDEN ApS,"Lysbjergvej 11, 6500 Vojens",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Slagter Hejsel,"Søvejen 3, 6500 Vojens",Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Vores Køkken Sølund,"Sølundsvej 3B, 8660 Skanderborg",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống,
Louise´s Catering - Lunch ApS,"Odinsvej 6, 6950 Ringkøbing",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Den Gamle Slagter v/M. Vangsgaard, Engros","Vestergade 74, 7700 Thisted",Cơ sở chế biến thịt xay; Nhà máy chế biến,
HANEGAL A/S Syd,"Niels Bohrs Vej 5, 6100 Haderslev",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Danish Crown A/S, Oksekødsafdeling","Industrivej Syd 1, 6600 Vejen",Cơ sở chế biến thịt xay,
BHJ A/S,"Kornvej 1, 9500 Hobro",Nhà máy chế biến,
ATRIA DANMARK A/S,"Aage Jensen Bakken 1, Postboks 1123, 8700 Horsens",Nhà máy chế biến,
GoodLife Foods Nyborg A/S,"Delfinvej 3-5, 5800 Nyborg",Nhà máy chế biến,
STRYHN'S A/S LANGELAND,"Kassebøllevej 4, 5900 Rudkøbing",Nhà máy chế biến,
HØJER PØLSER A/S,"Søndergade 1, 6280 Højer",Nhà máy chế biến,
Jensens Foods A/S,"Energivej 5, 7600 Struer",Nhà máy chế biến,
Oscar A/S,"Industrivej 36, 4683 Rønnede",Nhà máy chế biến,
"DANPO A/S, Forædling","Tykhøjetvej 44, Farre, 7323 Give",Nhà máy chế biến,
"BHJ A/S, Essentia","Sundsnæs 33, 6300 Gråsten",Nhà máy chế biến,
Delika Christiansfeld A/S,"Kongensgade 47, 6070 Christiansfeld",Nhà máy chế biến,
Stryhns A/S,"Vestre Kirkevej 13, Himmelev, 4000 Roskilde",Nhà máy chế biến,
Hvidebæk Pølsefabrik,"Industrivej 17D, 4490 Jerslev Sjælland",Nhà máy chế biến; Kho lạnh bảo quản,
ROBERT DAMKJÆR A/S,"Anslet Landevej 10, 6100 Haderslev",Nhà máy chế biến,
Løgismose Fødevarer,"Ny Vestergade 2, 5672 Broby",Nhà máy chế biến; Trung tâm điều phối / xuất hàng,
MUNKEBO SEAFOOD A/S,"Fiskeløkken 1, 5330 Munkebo",Nhà máy chế biến,
"CHRISTAN VOLLSTEDT - SØNDERJYSKE, DIPLOMPØLSER ApS AF 01.01.2000","Naffet 22, 6100 Haderslev",Nhà máy chế biến,
WIUM LEVERPOSTEJ ApS,"Sallingsundvej 9, 6715 Esbjerg N",Nhà máy chế biến,
"Delika ApS, Pakkeri","Hirsevej 22, 6100 Haderslev",Nhà máy chế biến,
Gate Gourmet Denmark ApS,"Cargo Centervej 39, 7190 Billund",Nhà máy chế biến,
Als pølser,"Kirke Hørupvej 20, 6470 Sydals",Nhà máy chế biến,
Mozami A/S,"Ved Milepælen 4 A, 8361 Hasselager",Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói,
Bornholmerslagteren ApS,"Brovangen 18, 3720 Aakirkeby",Nhà máy chế biến,
Statsfængslet i Jyderup,"Søbæksparken 136, 4450 Jyderup",Nhà máy chế biến,
International N&H Denmark ApS,"Edwin Rahrs Vej 38, 8220 Brabrand",Nhà máy chế biến,
Det Danske Madhus A/S,"Roholmsvej 11D, 2620 Albertslund",Nhà máy chế biến,
EASYFOOD A/S,"Albuen 39, 6000 Kolding",Nhà máy chế biến,
"Danish Crown A/S, Thorning","Bommen 9, 8620 Kjellerup",Nhà máy chế biến; Kho lạnh bảo quản,
Fælleskøkkenet Elbo I/S,"Tingvejen 31, 7000 Fredericia",Nhà máy chế biến,
Byens Køkken,"Teknikvej 4, 5260 Odense S",Nhà máy chế biến,
"Danish Crown A/S, Inventorium","Tulipvej 10, 7100 Vejle",Nhà máy chế biến; Kho lạnh bảo quản,
Blume Food I/S,"Smedevænget 4, Øster Bjerregrav, 8920 Randers NV",Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói,
"Produktion Lager og Transport, - Køkken - Holbæk - Birkevænget","Birkevænget 44, 4300 Holbæk",Nhà máy chế biến,
Produktion Lager og Transport - Køkken - Slagelse,"Ingemannsvej 38, 4200 Slagelse",Nhà máy chế biến,
Madservice Kalundborg,"Stejlhøj 13, 4400 Kalundborg",Nhà máy chế biến,
Mad og Møder - Køkkenet Filadelfia,"Værkstedsvej 5, 4293 Dianalund",Nhà máy chế biến,
Næstved Madservice,"Tommerupvej 7, 4700 Næstved",Nhà máy chế biến,
Madservice Skovvang,"Grønningen 1, 4200 Slagelse",Nhà máy chế biến,
"Sygehus Sønderjylland Sønderborg, KøkkenService","Sydvang 1, 6400 Sønderborg",Nhà máy chế biến,
Carnad A/S,"Falstervej 6, 9670 Løgstør",Nhà máy chế biến,
"Esbjerg Sygehus, Produktionskøkken","Finsensgade 35, 6700 Esbjerg",Nhà máy chế biến,
Madjyden,"Brandlundparken 1, 7330 Brande",Nhà máy chế biến,
Vores Køkken FHR,"Alleen 2, 8680 Ry",Nhà máy chế biến,
"Regionshospitalet Randers, Patientkøkken","Skovlyvej 15, 8930 Randers NØ",Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống,
"BO-INSTITUTIONEN SØDISBAKKE, Centralkøkkenet","Havndalvej 7, 9550 Mariager",Nhà máy chế biến,
Tønder Fælleskøkken,"Carstensgade 6-8, 6270 Tønder",Nhà máy chế biến,
Madservice Aalborg Gug,"Fortunavej 2, 9210 Aalborg SØ",Nhà máy chế biến,
"Aalborg Madservice, Storkøkkenet Lions Parken","Lions Parken 4, 9400 Nørresundby",Nhà máy chế biến,
"Regionshospital Nordjylland, Hjørring afsnittet","Bispensgade 37, 9800 Hjørring",Nhà máy chế biến,
Mad til hver dag I/S,"Lokesvej 12, 3400 Hillerød",Nhà máy chế biến,
Holbæk Fælleskøkken,"Stenhusvej 21, 4300 Holbæk",Nhà máy chế biến,
Det danske Madhus Varde A/S,"Carolineparken 1 B, 6800 Varde",Nhà máy chế biến,
Madservice Vejen,"Fællesvirke 2, 6670 Holsted",Nhà máy chế biến,
"Slagter Munch, Engro","Sct. Laurentii Vej 1, 9990 Skagen",Nhà máy chế biến,
Skagen Skinke,"Kassevej 3, 9990 Skagen",Nhà máy chế biến; Kho lạnh bảo quản,
Mad & Måltider,"Bladknæk 51, 6200 Aabenraa",Nhà máy chế biến,
"Norddjurs Mad, Centralkøkkenet","Trekanten 1, 8500 Grenaa",Nhà máy chế biến,
Det Danske Madhus A/S Aarhus,"Vestermøllevej 7A, 8380 Trige",Nhà máy chế biến,
Halkær Ådal Økologisk,"Blindebomsgade 5, 9670 Løgstør",Nhà máy chế biến,
Centralkøkkenet Nordjysk Mad I/S,"Hjørringvej 180, 9700 Brønderslev",Nhà máy chế biến,
"Rigshospitalet, Centralkøkken","Blegdamsvej 9, 2100 København Ø",Nhà máy chế biến,
"Kastanjehaven, Centralkøkken","Troels-Lunds Vej 25, 2000 Frederiksberg",Nhà máy chế biến,
Bodebjerg ApS,"Vinkelvej 21, 5290 Marslev",Nhà máy chế biến,
"Aalborg Universitetshospital Thisted, Centralkøkken","Højtoftevej 2, 7700 Thisted",Nhà máy chế biến,
Fælleskøkkenet I/S,"Granitvej 1, 4990 Sakskøbing",Nhà máy chế biến,
Delika Haderslev ApS,"Hirsevej 15, 6100 Haderslev",Nhà máy chế biến,
Centralkøkkenet Skovparken,"Skovparken 1 B, 7900 Nykøbing M",Nhà máy chế biến,
"Odsherred Madservice, Plejecenter Solvognen","Højbygårdsvej 10, 4573 Højby",Nhà máy chế biến,
"Sygehus Lillebælt, KOLDING SYGEHUS - Køkkenet","Sygehusvej 24, 6000 Kolding",Nhà máy chế biến,
"Vejle Sygehus, køkkenet","Beriderbakken 4, 7100 Vejle",Nhà máy chế biến,
Produktionskøkkenet Sydtoften,"Sydtoften 104, 7200 Grindsted",Nhà máy chế biến,
Zirfelt's Leverpostej,"Åvej 5, 9670 Løgstør",Nhà máy chế biến,
Køkken Ballerup,"Bybjergvej 11, st. A, 2740 Skovlunde",Nhà máy chế biến,
Svaneke Deli,"Svanevang 2, 3740 Svaneke",Nhà máy chế biến,
"Odsherred Madservice, Bakkegårdens Centralkøkken","Bakkegården 1, 4534 Hørve",Nhà máy chế biến,
Køkken Syddjurs,"Vestre Fasanvej 31, 8410 Rønde",Nhà máy chế biến,
Nr. Onsild ApS,"Niels Bohrs Vej 5, 6100 Haderslev",Nhà máy chế biến,
"Grindsted Sygehus, Modtagekøkken","Engparken 1, 7200 Grindsted",Nhà máy chế biến,
Det gode madhus I/S,"Ryttervej 39, 5700 Svendborg",Nhà máy chế biến,
Det Danske Madhus Vejle,"Kornmarken 21, 6040 Egtved",Nhà máy chế biến,
Madservice Kronjylland,"Falstersvej 2, 8940 Randers SV",Nhà máy chế biến,
Madservice Trekroner,"Trekroner Centervej 41, Trekroner, 4000 Roskilde",Nhà máy chế biến,
"Madservice Viby, Toftehøjen, Køkken","Tofthøjvej 20, 4130 Viby Sjælland",Nhà máy chế biến,
Produktionskøkkenet Lundebo,"Ventemøllevej 30, 4293 Dianalund",Nhà máy chế biến,
Madhuset,"Wørishøffersgade 23, 5800 Nyborg",Nhà máy chế biến,
HE Midt Køkken,"Heibergs Alle 4, 8800 Viborg",Nhà máy chế biến,
"Bispebjerg Hospital, FM - Køkken - indgang 30","Esther Ammundsens Vej 29C, 2400 København NV",Nhà máy chế biến,
"Herlev Hospital, Bageri, Ernæringsenheden","Borgmester Ib Juuls Vej 50, 4, 2730 Herlev",Nhà máy chế biến,
Madservice Ågerup,"Gundsølillevej 6, 4000 Roskilde",Nhà máy chế biến,
Convi Food ApS,"Vandtårnsvej 75, 1, 2860 Søborg",Nhà máy chế biến,
Madservice Hashøj,"Atkærvænget 27 D, 4261 Dalmose",Nhà máy chế biến,
"Handicapcenter Fyn , Køkken Engbo","Skaboeshusevej 90A, 5800 Nyborg",Nhà máy chế biến,
Ældrecentret Fænøsund,"Vestre Hougvej 70, 5500 Middelfart",Nhà máy chế biến,
Seniorcenter Rosenlund,"Mørkhøjvej 336, 2860 Søborg",Nhà máy chế biến,
SDE Engros,"Risingsvej 60, 5000 Odense C",Nhà máy chế biến,
Favrskov Mad,"Herredsvej 16, 8382 Hinnerup",Nhà máy chế biến,
"Plejehjemmet Henriksdal, Fælleskøkken","Valbyvej 47, 2630 Taastrup",Nhà máy chế biến,
"Torstorp Pleje- og Rehabiliteringscenter, Centralkøkken","Morelhaven 122, 2630 Taastrup",Nhà máy chế biến,
Københavns Madservice,"Bystævneparken 15, 2700 Brønshøj",Nhà máy chế biến,
Distrikt Ulvsund,"Kornvej 40, 4780 Stege",Nhà máy chế biến,
EAT Centralkøkken,"Blushøjvej 11, 2450 København SV",Nhà máy chế biến,
Omsorgs Centeret Hjortespring,"Sennepshaven 4, 2730 Herlev",Nhà máy chế biến,
Det Gode Måltid,"Odensevej 29 D, 5610 Assens",Nhà máy chế biến,
MadhuZet Zahles,"Zahlesvej 18, 4100 Ringsted",Nhà máy chế biến,
Ærø Madservice,"Gasværksvej 10, 5960 Marstal",Nhà máy chế biến,
Arresødal slotskøkken,"Arresødalvej 100, 3300 Frederiksværk",Nhà máy chế biến,
"Nordsjællands Hospital - Hillerød, Centralkøkken","Dyrehavevej 29, 3400 Hillerød",Nhà máy chế biến,
"DGI-byen, Stor køkken","Tietgensgade 65, 1704 København V",Nhà máy chế biến,
"Plejehjemmet Salem, Centralkøkken","Mitchellsstræde 5, 2820 Gentofte",Nhà máy chế biến,
Højbjerggård,"Højbjerggårdsvej 16, 2840 Holte",Nhà máy chế biến,
Børneinstitutionen Bøgehøjen,"Henriksholms Alle 10- 12, 2950 Vedbæk",Nhà máy chế biến,
"Madservice Viborg, Produktionskøkken","Petersmindevej 15, 8800 Viborg",Nhà máy chế biến,
Mad & Måltider Lystholm,"Lystholm 20, 3480 Fredensborg",Nhà máy chế biến,
Egedal kommunes madservice,"Damgårdsparken 5, 3660 Stenløse",Nhà máy chế biến,
"Børnehuset Lyngborghave, Produktionskøkken","Lyngborghave 42-46, 3460 Birkerød",Nhà máy chế biến,
"ÆLDRECENTRET MASTRUPLUND, Område Øst","Mastruplundvej 2 L, 9530 Støvring",Nhà máy chế biến,
"Regionshospitalet Horsens, Hospitalskøkken og personalekantine","Sundvej 30, 8700 Horsens",Nhà máy chế biến,
"083 Køkkenet Hvidovre Hospital, Centralkøkken","Kettegård Alle 30, 2650 Hvidovre",Nhà máy chế biến,
"Gildhøjhjemmet, Centralkøkkenet","Brøndby Møllevej 25, 2605 Brøndby",Nhà máy chế biến,
"Den Selvejende Institution Ryetbo, Centralkøkken","Engstedet 5, 3500 Værløse",Nhà máy chế biến,
"Rigshospitalet, Glostrup Hospital, Centralkøkken","Valdemar Hansens Vej 1, 2600 Glostrup",Nhà máy chế biến,
Centralkøkkenet Herlev og Gentofte hospital,"Gentofte Hospitalsvej 22, 2900 Hellerup",Nhà máy chế biến,
WOODEN SPOON ApS,"Herstedøstervej 19, 2600 Glostrup",Nhà máy chế biến,
"Ældrecenter Æblehaven, Centralkøkken","Guldborgvej 6, 2660 Brøndby Strand",Nhà máy chế biến,
Brøndby Kommune Ældrecenter,"Nygårds Plads 30, 2605 Brøndby",Nhà máy chế biến,
"Plejecenter Sølund, Storkøkken","Ryesgade 20, 2200 København N",Nhà máy chế biến,
"DeViKa Nexø, Engros","Paradisvej 72, 3730 Nexø",Nhà máy chế biến,
"Plejehjemmet Lindehaven, Centralkøkken","Præstevænget 11, 2750 Ballerup",Nhà máy chế biến,
"Plejehjemmet Toftehaven, Centralkøkken","Nygårdsvej 35, 2750 Ballerup",Nhà máy chế biến,
"Plejehjemmet Kirstinehaven, Centralkøkken","Kirstinelundsvej 12, 2750 Ballerup",Nhà máy chế biến,
Ældrecenter Egely,"Egebjerg Bygade 34, 2750 Ballerup",Nhà máy chế biến,
Lundehaven Plejecenter,"Skovlunde Torv 8, 2740 Skovlunde",Nhà máy chế biến,
"Sønderhaven, Central køkken","Søndergårds Allé 100, 2760 Måløv",Nhà máy chế biến,
KommuneKøkkenet Hvidovre,"Karise Alle 33, 2650 Hvidovre",Nhà máy chế biến,
"Herlevgård Center, Hovedkøkken","Herlevgårdsvej 3, 2730 Herlev",Nhà máy chế biến,
Omsorgscentret i Hvissinge,"Stenager 2, 2600 Glostrup",Nhà máy chế biến,
"Plejehjemmet Engskrænten, Centralkøkken","Kirkesvinget 5, 2610 Rødovre",Nhà máy chế biến,
Tayyib Food ApS - Ringsted,"Sleipnersvej 10, 4100 Ringsted",Nhà máy chế biến,
ByMattsson,"Rugmarken 10, byg. 9, 3650 Ølstykke",Nhà máy chế biến,
Parkvænget,"Byparkvej 87, 2600 Glostrup",Nhà máy chế biến,
Jagger Eksternt køkken,"Oslovej 2, 6230 Rødekro",Nhà máy chế biến,
Produktionskøkken Hvidovrevej ApS,"Fjeldhammervej 15, 2610 Rødovre",Nhà máy chế biến,
"Kejserindens Gryder A/S, Vores Smagsløg","Herstedøstervej 27, 2620 Albertslund",Nhà máy chế biến,
"Børnehusene Fredensborg - fælleskøkken, Sneglehuset","Lystholm 8-18, 3480 Fredensborg",Nhà máy chế biến,
"Plejecenter Lillevang, Centralkøkken","Lillevænget 1, 3520 Farum",Nhà máy chế biến,
"Pilegården, Produktionskøkken","Bregnerødvej 122, 3460 Birkerød",Nhà máy chế biến,
"Center Amager Sundbygård, Blok B, Produktionskøkken","Sundbygårdsvej 3, 2., 2300 København S",Nhà máy chế biến,
"Skovsminde Omsorgscenter, Centralkøkken","Skovsmindeparken 2A, 3230 Græsted",Nhà máy chế biến,
Madservice,"Lindhøjvej 2, 5330 Munkebo",Nhà máy chế biến,
Akaciegården,"Betty Nansens Alle 2A, 2000 Frederiksberg",Nhà máy chế biến,
"Ældrecentret Broparken, Centralkøkken","Slotsherrens Vænge 2, 2610 Rødovre",Nhà máy chế biến,
"Omsorgscenter Kærbo, Centralkøkken","Ishøj Boulevard 2, 2635 Ishøj",Nhà máy chế biến,
"Ryholtgård Plejehjem, Centralkøkken","Rymarksvej 23-27, 2900 Hellerup",Nhà máy chế biến,
Den Selvejende inst.Birkebo,"Hellebo Park 98, 3000 Helsingør",Nhà máy chế biến,
Børnehusene Kokkedal,"Broengen 6, 2980 Kokkedal",Nhà máy chế biến,
"Plejeboligcenter Fælledgaarden, Centralkøkken","Drejøgade 3, 2100 København Ø",Nhà máy chế biến,
"Behandlingshjemmet Hvidborg, Institutionskøkken","Neergårds Alle 6, 2650 Hvidovre",Nhà máy chế biến,
Vuggestuen Enghusene,"Tyborøn Allé 55, 2720 Vanløse",Nhà máy chế biến,
"Plejecentret Hørgården, Produktionskøkken","Brydes Allé 28, st, 2300 København S",Nhà máy chế biến,
"Centralkøkken Helsingegården, PlejeGribskov","Parkvænget 20A, 3200 Helsinge",Nhà máy chế biến,
"Rehabiliteringscentret Hegnsgården, Centralkøkken","Alleen 7, 2850 Nærum",Nhà máy chế biến,
"Plejehjemmet Grønnehaven, Café","Sundtoldvej 2, 3000 Helsingør",Nhà máy chế biến,
"Teknologisk Institut, Bioressourcer","Gregersensvej 3 3J, 2630 Taastrup",Nhà máy chế biến,
"Plejehjemmet Falkenberg, Centralkøkken","Falkenbergvej 30A, 3140 Ålsgårde",Nhà máy chế biến,
"Klarahus, Centralkøkken","Edith Rodes Vej 14, 2200 København N",Nhà máy chế biến,
Bo & Dagtilbud Musvågevej,"Musvågevej 24, 2400 København NV",Nhà máy chế biến,
Agerbækhuse,"Gymnasievej 30, 4600 Køge",Nhà máy chế biến,
Plejehjemmet Strandhøj,"Gylfesvej 17C, 3060 Espergærde",Nhà máy chế biến,
"Plejehjemmet Verdishave, Produktionskøkken","Tartinisvej 31, 2450 København SV",Nhà máy chế biến,
"Plejehjemmet Peder Lykke Centret, Centralkøkkenet","Peder Lykkes Vej 65, 2300 København S",Nhà máy chế biến,
"Bispebjerghjemmet, Centralkøkken","Tagensvej 186, 2400 København NV",Nhà máy chế biến,
"Omsorgscenter Enggården, Centralkøkken","Engvej 20A, 2791 Dragør",Nhà máy chế biến,
"Møllegården Omsorgscenter, Køkken/Børnekøkken","Bagsværd Møllevej 9, 2800 Kongens Lyngby",Nhà máy chế biến,
Centralkøkkenet Boserupvej 7,"Boserupvej 7, 4000 Roskilde",Nhà máy chế biến,
"Håndværkerforeningens Plejehjem, Centralkøkken","Håndværkerhaven 49, 2400 København NV",Nhà máy chế biến,
"Plejecentret Sjælsø, Centralkøkkenet","Soldraget 37, 3460 Birkerød",Nhà máy chế biến,
"Lions Neurocenter, Hovedkøkken","Tuborgvej 181, 2400 København NV",Nhà máy chế biến,
"Grøndalsvænge, Centralkøkken","Rabarbervej 6, 2400 København NV",Nhà máy chế biến,
Breelteparken,"Breeltevej 1, 2970 Hørsholm",Nhà máy chế biến,
"Rundskuedagens Plejehjem, Centralkøkken","Dannebrogsgade 44, 1660 København V",Nhà máy chế biến,
"Bakkegården Demensboliger, Centralkøkken","Taxvej 18, 2880 Bagsværd",Nhà máy chế biến,
"Energi Center Voldparken, Produktionskøkken","Kobbelvænget 65, EnergiCenter Voldparken, 2700 Brønshøj",Nhà máy chế biến,
Plejecenter Birkerødpark,"Bregnerødvej 83, 3460 Birkerød",Nhà máy chế biến,
Madservice Lystoftebakken,"Caroline Amalie Vej 130, 2800 Kongens Lyngby",Nhà máy chế biến,
"Områdecenter Bredebo, Hovedkøkken","Mølleåparken 2, 2800 Kongens Lyngby",Nhà máy chế biến,
"Områdecenter Solgården, Den Kommunale Madservice","Virumvej 125, 2830 Virum",Nhà máy chế biến,
"Baunehøj, Den Kommunale Madservice","Carlshøjvej 66, 2800 Kongens Lyngby",Nhà máy chế biến,
"Institution Møllebo, Institutionskøkken","Lyngby Hovedgade 1A, 2800 Kongens Lyngby",Nhà máy chế biến,
Mona's,"Edwin Rahrs Vej 46, 8220 Brabrand",Nhà máy chế biến,
"Plejecenter Virumgård, Den Kommunale Madservice","Sennepsmarken 1, 2830 Virum",Nhà máy chế biến,
Madkonceptet ApS,"Stensmosevej 22E, 2620 Albertslund",Nhà máy chế biến,
Det Velkendte,"Jernholmen 49, 2650 Hvidovre",Nhà máy chế biến,
Kildespring A/S,"Jerupvej 726, 9870 Sindal",Nhà máy chế biến,
"Langgadehus, Produktionskøkken","Valby Langgade 97, 2500 Valby",Nhà máy chế biến,
"Ældrecenter Dalvangen, Centralkøkken","Digevangsvej 1, 2600 Glostrup",Nhà máy chế biến,
Dansk Stålkonstruktioner V/ Cheval Blanc,"Samsøvej 2, 9500 Hobro",Nhà máy chế biến,
"Dronning Ingrids Hjem, Centralkøkken","Carl Jacobsens Vej 6- 10, 2500 Valby",Nhà máy chế biến,
"Kildegården, Centralkøkken og Café","Kildebakkegårds Alle 165, 2860 Søborg",Nhà máy chế biến,
"Skjulhøjgård, Centralkøkkenet","Ålekistevej 226, 2720 Vanløse",Nhà máy chế biến,
"Børnehusene Humlebæk, Frugthaven Børnehave / Frugthaven Vuggestue","Baunebjergvej 550, 3050 Humlebæk",Nhà máy chế biến,
Simply Cooking I Kantine,"Litauen Alle 6, 2630 Taastrup",Nhà máy chế biến,
Storstrøms Fængsel Produktionskøkken,"Blichersvej 1, 4840 Nørre Alslev",Nhà máy chế biến,
"Pilehuset, Køkken ved festsalen","Bystævneparken 24, 2700 Brønshøj",Nhà máy chế biến,
KOKKEKOMPAGNIET ApS,"Hesselly 9, 6000 Kolding",Nhà máy chế biến,
"Ingeborggården , Centralkøkken","Troels-Lunds Vej 27A, 2000 Frederiksberg",Nhà máy chế biến,
CaterCorp ApS,"Porsborgparken 7, 9530 Støvring",Nhà máy chế biến,
Centralkøkkenet Klostergårdens Plejehjem,"Strandvejen 91C, 2100 København Ø",Nhà máy chế biến,
"Esbjerg Kommune, Afd. Ny Bøndergårdsvej","Ved Skoven 41, 6700 Esbjerg",Nhà máy chế biến,
Meyers Køkken Hovedkøkken,"Hedegaardsvej 88, 2300 København S",Nhà máy chế biến,
Jespers Torvekøkken ApS,"Vandtårnsvej 75, 2860 Søborg",Nhà máy chế biến,
"Omsorgscentret Egegården, Centralkøkken","Klausdalsbrovej 213, Egegård Distrikt, 2860 Søborg",Nhà máy chế biến,
MIB Vejle ApS,"Lysholt Allé 3, 7100 Vejle",Nhà máy chế biến,
Lunch Club ApS,"Avedøreholmen 96, 2650 Hvidovre",Nhà máy chế biến,
VM Konference,"Harald Jensens Vej 9, 9000 Aalborg",Nhà máy chế biến,
Jespers Torvekøkken Nordjylland ApS,"Kystvejen 50, 9400 Nørresundby",Nhà máy chế biến,
Meyers Køkken Aarhus,"Sletvej 34, 8310 Tranbjerg J",Nhà máy chế biến,
"Regionshospitalet Gødstrup, Produktionskøkken","Kapelvej 5, 7400 Herning",Nhà máy chế biến,
Spis godt ApS,"Oceanvej 13, st, 8000 Aarhus C",Nhà máy chế biến,
"Simon Køkken ApS, Engros","Thomas Olesen Løkkens Vej 2, 9200 Aalborg SV",Nhà máy chế biến,
Solsikken,"Fortevej 16, 8700 Horsens",Nhà máy chế biến,
Gourmiddag,"Sønderskovvej 15, 8362 Hørning",Nhà máy chế biến,
"Plejecentret Baldersbo, Køkken","Charlotteager 7, 2640 Hedehusene",Nhà máy chế biến,
"Sengeløse Plejecenter, Centralkøkken","Landsbygaden 4, 2630 Taastrup",Nhà máy chế biến,
MADHYTTEN ApS,"Gummersmarkvej 7A, 4632 Bjæverskov",Nhà máy chế biến,
"Ørestad Plejecenter, Centralkøkken","Asger Jorns Allé 5, 2300 København S",Nhà máy chế biến,
Søften v/ Jespers Torvekøkken ApS,"Rho 16, 8382 Hinnerup",Nhà máy chế biến,
Nordic Catering ApS,"Kirsten Walthers Vej 5, 2500 Valby",Nhà máy chế biến,
Corporate Cooking ApS,"Grønnedalsvej 14, 8660 Skanderborg",Nhà máy chế biến,
"Madværftet, Engros","Kirkebakken 4, 8330 Beder",Nhà máy chế biến,
Madservice Hyrdehøj,"Hyrdehøj Stræde 2, 4000 Roskilde",Nhà máy chế biến,
Aamanns Køkken,"Refshalevej 163A, 1432 København K",Nhà máy chế biến,
Lalala,"Strandgade 71, 1401 København K",Nhà máy chế biến,
Yazzys Administration,"Blækhatten 3b, 5220 Odense SØ",Nhà máy chế biến,
Teglporten - centralkøkken,"Teglporten 11, 3460 Birkerød",Nhà máy chế biến,
"Holmegårdsparken, Centralkøkkenet","Ordrupvej 32, 2920 Charlottenlund",Nhà máy chế biến,
KRAGERUP & KO ApS,"Ejby Industrivej 91, 2600 Glostrup",Nhà máy chế biến,
SPISERIET8000 ApS,"Stationsvangen 5, 8541 Skødstrup",Nhà máy chế biến,
Kejserindens gryder & kokkeri A/S,"Herstedøstervej 27, 2620 Albertslund",Nhà máy chế biến,
Madxpressen ApS,"Alsvej 21, 8940 Randers SV",Nhà máy chế biến,
Fonden JunkFood,"Betty Nansens Alle 57- 61, 2000 Frederiksberg",Nhà máy chế biến,
Functional Future ApS,"Ellekær 14, 2730 Herlev",Nhà máy chế biến,
Compass Group DK LEGO Kløverblomsten,"Kløvermarken 14, 7190 Billund",Nhà máy chế biến,
LYNDRUPS RENGØRING ApS,"Smedebjergvej 25, 7980 Vils",Nhà máy chế biến,
DSB Depotvej v/ISS Facility Services A/S,"Depotvej 12, 2630 Taastrup",Nhà máy chế biến,
Den Røde Okse Catering,"Stenhuggervej 5, 6710 Esbjerg V",Nhà máy chế biến,
Madklubben Catering ApS,"Smedeholm 15, 2730 Herlev",Nhà máy chế biến,
City Catering ApS,"Buddingevej 201B, 2860 Søborg",Nhà máy chế biến,
Dabba Aps,"Stadion Allé 70, 8000 Aarhus C",Nhà máy chế biến,
Roskilde Tekniske Skole,"Ledreborg Alle 50, 4000 Roskilde",Nhà máy chế biến,
Pico Pizza Production ApS,"Struenseegade 9, 2200 København N",Nhà máy chế biến,
"Copenhagen Company, Centralkøkkenet","Kirkegårdsvej 25 B, 2300 København S",Nhà máy chế biến,
SKAT_Kratbjerg 236,"Kratbjerg 236, 3480 Fredensborg",Nhà máy chế biến,
Rosenborgcentret,"Rosengade 1, 1309 København K",Nhà máy chế biến,
MONDRUPS KØKKEN ApS,"Strandvejen 34, st tv, 2900 Hellerup",Nhà máy chế biến,
