name,town,category,discontinued
ALBER FOOD ApS,"Literbuen 9, 2740 Skovlunde",Kho lạnh bảo quản,
"Coop Danmark A/S, Ferskvare Lager","Solmarksvej 7, 2605 Brøndby",Kho lạnh bảo quản,
The Danish Butter Export Union A/S,"Broenge 11, 2635 Ishøj",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Salling Group - Vejle,"Englandsvej 2, 7100 Vejle",Kho lạnh bảo quản,
"Friskvareterminalen, Christiansfeld","Arlavej 2, 6070 Christiansfeld",Kho lạnh bảo quản,
Royal Food ApS,"Lupinvej 5, 9500 Hobro",Kho lạnh bảo quản,
Ay Engros ApS,"Navervej 22, 4000 Roskilde",Kho lạnh bảo quản,
Jeudan A/S,"Frederiksborggade 21, 1360 København K",Kho lạnh bảo quản,
BC CATERING AALBORG A/S,"Jellingvej 24, 9230 Svenstrup J",Kho lạnh bảo quản,
INGWERSEN A/S,"Hørskætten 30, 2630 Taastrup",Kho lạnh bảo quản,
Intercargo Scandinavia A/S,"Tolsagervej 6, Hadbjerg, 8370 Hadsten",Kho lạnh bảo quản,
HARTMAN LOGISTIK ApS,"Geminivej 29, 2670 Greve",Kho lạnh bảo quản,
Unifood Import A/S,"Kanalholmen 4, 2650 Hvidovre",Kho lạnh bảo quản,
Thyborøn Stevedore,"Fabriksvej 17 - 19, 6960 Hvide Sande",Kho lạnh bảo quản,
Hansen & Søn A/S - Tricolore,"Thorsvej 8, 6330 Padborg",Kho lạnh bảo quản,
K. C. Frugt ApS,"Hørskætten 30-32, 2630 Taastrup",Kho lạnh bảo quản,
BC Catering Bornholm,"Skansevej 8A, 3700 Rønne",Kho lạnh bảo quản,
Skæve Mejeri,"Skævevej 160, 9352 Dybvad",Cơ sở bọc màng và tái đóng gói,
Greens Nordic ApS,"Mileparken 13, 2740 Skovlunde",Kho lạnh bảo quản,
"Vebbestrup Flødeis, Lager","Idrætsvej 3, 9500 Hobro",Kho lạnh bảo quản,
Dagrofa Bornholm A/S,"Ved Lunden 18, 3700 Rønne",Kho lạnh bảo quản,
Borngros,"Skansevej 8B, 3700 Rønne",Kho lạnh bảo quản,
Gastrounika,"Herluf Trolles Gade 23, st, 1052 København K",Kho lạnh bảo quản,
"Kohberg Bakery Group A/S, Frostlager","Finlandsvej 10, 6100 Haderslev",Kho lạnh bảo quản,
"ALI FOOD ApS COPENHAGEN MARKETS, Stade 2037","Litauen Alle 13 20-10, 2630 Taastrup",Kho lạnh bảo quản,
HOVEDSTADS REGIONENS FRUGT ENGROS ApS,"Meterbuen 24, 2740 Skovlunde",Kho lạnh bảo quản,
"Tuna Food, Stade 2011","Litauen Alle 13, 2630 Taastrup",Kho lạnh bảo quản,
RMT TRADING ApS,"Klokkestøbervej 17, 5230 Odense M",Kho lạnh bảo quản,
Dagrofa Foodservice Cash & Carry Roskilde,"Vestre Hedevej 20, 4000 Roskilde",Kho lạnh bảo quản,
Gima Catering A/S,"Naverland 24, 2600 Glostrup",Kho lạnh bảo quản,
JH Transport & Logistics A/S,"Solmarksvej 2, 2605 Brøndby",Kho lạnh bảo quản,
Mommark Fisk,"Mommarkvej, Kølecontaineren står ved havnen i Mommark, 6470 Sydals",Kho lạnh bảo quản,
"KANDI Vamdrup ApS, Binavn: Ja Food Import & eksport","Bavnevej 36, 6580 Vamdrup",Kho lạnh bảo quản,
Chr. Nielsen & Søn,"Jordrupvej 4, 6600 Vejen",Kho lạnh bảo quản,
A/S Nordana,"Ørstedsvej 18, 6760 Ribe",Kho lạnh bảo quản,
Bagenkop fisk,"Havnegade 2A, 5935 Bagenkop",Kho lạnh bảo quản,
La Mia Scampa,"Midtager 26B, 2605 Brøndby",Kho lạnh bảo quản,
essupply.dk v/Inger Madsen,"Helgolandsgade 15, 6700 Esbjerg",Kho lạnh bảo quản,
Kandi Catering Aps,"Christian X's Vej 1-3, 6100 Haderslev",Kho lạnh bảo quản,
ROSE Poultry A/S - Ferskvareterminal,"Fælledvej 27, Gimsing, 7600 Struer",Kho lạnh bảo quản,
Gourmet Engros,"H. C. Ørsteds Vej 10, 7000 Fredericia",Kho lạnh bảo quản,
T. I. Krydderier ApS,"Holmevej 13, 7361 Ejstrupholm",Cơ sở bọc màng và tái đóng gói,
Taasinge Mælk,"Lundbyvej 62A, 5700 Svendborg",Kho lạnh bảo quản,
Cater Grønt A/S,"Korsørvej 91, 4200 Slagelse",Kho lạnh bảo quản,
"Delika Food Group as, Skjern","Industrivej 11, 6900 Skjern",Kho lạnh bảo quản,
"Origreen ApS, Engros","Metalgangen 4H, 2690 Karlslunde",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
IBON APS,"Industriholmen 82, 2650 Hvidovre",Kho lạnh bảo quản,
AARSTIDERNE A/S,"Barritskovvej 34, 7150 Barrit",Kho lạnh bảo quản,
Freja Transport & Logistics A/S,"Plantagevej 24, 6330 Padborg",Kho lạnh bảo quản,
Kochens ApS,"Logistikvej 14, 5250 Odense SV",Kho lạnh bảo quản,
"Arla Foods Amba (Taulov mejeri), Mønsted Kalkgruber","Kalkværksvej 8, 7850 Stoholm Jyll",Kho lạnh bảo quản,
M/V Klevstrand,"Østre Havnegade 18, st tv, 9000 Aalborg",Tàu lạnh (tàu chở hàng bảo quản lạnh),
Delitaste ApS,"Hammerholmen 15D, 2650 Hvidovre",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Parkson Peng & Ling Trading ApS,"Søndre Ringvej 55 4, 2605 Brøndby",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
