stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
582,Ūkininkas H. Gineika,LT57-02 EB,1,RM (Meat of domestic ungulates),CP - Cutting Plant,"Mazgeliškių k., Šimonių sen., Kupiškio r. LT-40312",Mazgeliškiai,,Panevezys County,Lithuania,2021-03-19
583,Ūkininkas Ladas Katinas,LT 34-05 EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates)",MM - Minced Meat Plant; MP - Meat Preparation Plant | SH - Slaughterhouse; CP - Cutting Plant,Žvejų g. 76A Anykščiai,Anykšciai,29147,Utena County,Lithuania,2021-03-30
584,Ūkininkas Paulius Ruškys,LT 71-06 EB; LT 71-06EB,4,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | FFP (Fishery products - EU) | LBM (Live bivalve molluscs) | RPM (Meat products)",CC - Collection Centre; PP - Processing Plant | PP - Processing Plant | Z - Production Areas,"Pakruojo g.2, Gražionių k., Aukštelkų sen., Radviliškio r. sav.",Radviliškis,LT-82180,Siauliai County,Lithuania,2026-06-17
585,Ūkininkas Vaidas Purmalis,LT 56-06 EB,1,RPM (Meat products),PP - Processing Plant,"Bažnyčios g. 10, Tūbausių k., LT-97241Kretingos r. sav.",Tūbausiai,LT-97241,Klaipeda County,Lithuania,2021-03-22
586,Ūkininkas Vladas Baltuonis,LT 56-07 EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | PM (Meat from poultry and lagomorphs)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant; SH - Slaughterhouse,"Paukščių g. 9 Kalniškių k., LT-97319 Kretingos r. sav.",Kartena,LT-97340,Klaipeda County,Lithuania,2025-04-11
587,Ūkininko A. Petrėno gyvulių skerdykla,43-04,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Akmens g. 6, Samanių k., Suvieko sen., Zarasų r. sav.",Samaniai,,Utena County,Lithuania,2025-04-24
588,Ūkininko A. Čimolonsko gyvulių skerdykla,LT66-06 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Bernotų k., Panevėžio r.",Bernotai,LT-38441,Panevezys County,Lithuania,2021-03-16
589,Ūkininko Algio Bukausko ūkis,LT 81-07,2,RM (Meat of domestic ungulates) | GM (Meat of farmed game),SH - Slaughterhouse | CP - Cutting Plant; SH - Slaughterhouse,"Alionių k., Pivonijos sen.",Alionys,,Vilnius County,Lithuania,2023-06-07
590,Ūkininko Audriaus Banionio galvijų skerdykla,52-30,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Centrinė g. 28, Margininkų k., Taurakiemio sen., Kauno r.",Margininkai,LT-53180,Kaunas County,Lithuania,2021-03-16
591,Ūkininko Audriaus Banionio pieno perdirbimo cechas,52-35 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Kepyklos g. 8, Margininkų k., Taurakiemio sen.,  Kauno r.",Margininkų k.,LT-53180,Kaunas County,Lithuania,2021-03-15
592,Ūkininko Audriaus Banionio ūkio skerdykla,52-14,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Kepyklos g. 8, Margininkų k., Taurakiemio sen., Kauno raj.",Margininkai,LT-53180,Kaunas County,Lithuania,2021-03-16
593,Ūkininko Audriaus Banionio ūkis,52-07,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Kepyklos g. 8, Margininkų k., Taurakiemio sen., Kauno raj.",Margininkai,LT-53180,Kaunas County,Lithuania,2024-01-25
594,Ūkininko Ernesto Vaičiaus ūkis,LT49-16EB,1,FLS (Frogs' legs and snails),PP - Processing Plant,"Žaslių g. 11, Žiežmariai, Kaišiadorių r. sav.",Žiežmariai,LT-56235,Kaunas County,Lithuania,2021-03-18
595,Ūkininko Gintauto Migonio gyvulių skerdykla,LT 42-05,2,GM (Meat of farmed game) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"Elektrėnų sav., Pastrėvio sen., Lunkiškių k. 3A",Lunkiškės,,Vilnius County,Lithuania,2021-03-22
596,Ūkininko Kazimiero Baginsko mėsinė,68-02,1,RPM (Meat products),PP - Processing Plant,Pramonės pr. 5,Plungė,LT-90112,Telsiai County,Lithuania,2021-03-23
597,Ūkininko Kazimiero Baginsko mėsos cechas,68-01,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"Varkalių k., Nausodžio sen., Plungės r. sav.",Varkaliai,LT-90104,Telsiai County,Lithuania,2023-06-09
598,Ūkininko Kazimiero Baginsko paukščių skerdykla,68-16,1,RPM (Meat products),PP - Processing Plant,"Sodo g.46, Varkalių k., Nausodžio sen., Plungės r. sav.",Varkaliai,LT-90104,Telsiai County,Lithuania,2021-03-23
599,Ūkininko Leono Rutkausko ūkis,LT 89-01,2,PM (Meat from poultry and lagomorphs) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,Širvintų g. 5,Motiejūnai,LT-19128,Vilnius County,Lithuania,2022-02-14
600,Ūkininko Mindaugo Ralio ūkio avių skerdykla,LT45-01 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Dvaro g.2., Ligūnų k., Kazitiškio sen., Ignalinos r. sav, LT-30263",Ligūnai,,Utena County,Lithuania,2021-03-21
601,Ūkininko Ričardo Kvekšo ūkis,LT 81-02,2,PM (Meat from poultry and lagomorphs) | GM (Meat of farmed game),SH - Slaughterhouse,"Berzgainių k. 7, Žemaitkiemio sen.",Berzgainiai,,Vilnius County,Lithuania,2021-03-22
602,Ūkininkė Audronė Žilienė,LT72-04; LT 72-04,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"Algimantų k., Ariogalos sen., Raseinių r. sav.",Algimantai,,Kaunas County,Lithuania,2024-09-09
603,Ūkininkė Daiva Urbonavičiūtė,LT 42-71,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Elektrėnų sav., Vievio sen., Matukiškių k., Rusakalnio g. 36",Matukiškių k.,LT-21384,Vilnius County,Lithuania,2024-02-06
604,Ūkininkė Jolanta Jasiūnienė,LT 79-010,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Žalioji g. 20,Drabužininkai,LT-21034,Vilnius County,Lithuania,2021-03-26
605,Ūkininkė Jūratė Ancikienė,LT 91-04,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,"Marmų kaimas , Kužių sen. Šiaulių rajonas",Marmų k.,LT-81112,Siauliai County,Lithuania,2021-03-17
606,Ūkininkė Milda Puodžiukaitė,LT 79-08,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,Jurgionių kaim.,Jurgionys,,Vilnius County,Lithuania,2021-03-26
607,Ūkininkė Romualda Ona Vansevičienė,LT 42-014 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Elektrėnų  sav., Kietaviškių sen.,  Naujųjų Kietaviškių k., Bažnyčios  g. 9",Kietaviškės,LT-21214,Vilnius County,Lithuania,2021-03-26
608,"ŽL ""ANUVA"" FV",LT-010,1,FFP (Fishery products - EU),FV - Factory Vessel,S.Šimkaus g. 14-1,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
609,"ŽL ""IEVA SIMONAITYTĖ"" ZV",21-27,1,FFP (Fishery products - EU),ZV - Freezer Vessel,Artojo g. 7E,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
610,"ŽL ""KOVAS"" ZV",21-07,1,FFP (Fishery products - EU),ZV - Freezer Vessel,Artojo g. 7E,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
611,"ŽL ""PLUTONAS"" ZV",21-14,1,FFP (Fishery products - EU),ZV - Freezer Vessel,S.Šimkaus g. 14-1,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
612,"ŽL ""SIMONAS DAUKANTAS"" ZV",21-26,1,FFP (Fishery products - EU),ZV - Freezer Vessel,Artojo g. 7E,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
613,"ŽL ""VINCAS KUDIRKA"" ZV",21-08,1,FFP (Fishery products - EU),ZV - Freezer Vessel,Artojo g. 7E,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
614,"ŽPL ""NIDA"" FV",21-05,1,FFP (Fishery products - EU),FV - Factory Vessel,Pylimo g. 4,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
615,"Žemaitijos pienas, AB",78-01P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Sedos 35 g.,Telšiai,87101,Telsiai County,Lithuania,2021-02-22
616,Žemės ūkio UAB Pauliukai,46-01,1,RM (Meat of domestic ungulates),SH - Slaughterhouse; CP - Cutting Plant,"Kauno apskr. Jonavos r. sav., Žeimių sen., Juškonių k., Jonavos g. 1",Pauliukai,LT-55402,Kaunas County,Lithuania,2022-10-04
617,Žemės ūkio kooperatyvas SARTŲ LANKŲ JAUTIENA,LT43-01EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | PP - Processing Plant,"Akmens g. 6-2, Samanių k., Suvieko sen., Zarasų r. sav.",Zarasai,LT-32110,Utena County,Lithuania,2022-02-23
618,"ŽŪB ""Šaltekšnis""",51-01 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Sūsninkų k., Kalvarijos sen., Kalvarijos sav.",Sūsninkai,LT-69227,Marijampole County,Lithuania,2021-03-12
619,"ŽŪB ,,Agreksa""",LT49-18EB,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Nėries g. 4, Zūbiškių k., Palomenės sen., Kaišiadorių r. sav., LT-56394",Zūbiškės,LT-56394,Kaunas County,Lithuania,2021-03-18
620,"ŽŪB ,,Nematekas""",LT49-04EB; LT49-06EB,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | PM (Meat from poultry and lagomorphs) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | MP - Meat Preparation Plant; MSM - Mechanically Separated Meat Plant | RW - Re-wrapping Establishment | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Rusonių g.19, Dovainonių k., Rumšiškių sen., Kaišiadorių r. sav.",Dovainonys,LT-56335,Kaunas County,Lithuania,2021-03-18
621,ŽŪB Audrupio paukštynas,73-70,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Kovelių k.12, Jūžintų sen., Rokiškio r. sav",Kovelių k.,LT-42275,Panevezys County,Lithuania,2022-02-28
622,ŽŪB Auga Lankesa,46-09,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Kauno apskr. Jonavos r. sav., Bukonių sen., Bukonių k., Lankesos g. 2",Šapova,LT-55418,Kaunas County,Lithuania,2021-03-18
623,ŽŪB Ginkūnų paukštynas,LT91-70,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Malavėnų kaimas, Šiaulių rajonas",Malavėnų k.,LT-76111,Siauliai County,Lithuania,2021-03-17
624,ŽŪB KONTAUTĖLIAI,87-11,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Kantautaliai 10, 75404, Laukuvos sen., Šilalės r. sav.",Šilalė,,Taurage County,Lithuania,2021-10-20
625,"ŽŪK ""Melbras""",LT 39-109 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Ąžuolyno g. 4, Bartninkų k., Bartninkų sen., Vilkaviškio r. sav.",Bartninkai,LT-70021,Marijampole County,Lithuania,2021-03-09
626,"ŽŪK ""Senoji kryžkelė""",39-111 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Bažnyčios g. 6, Alksnėnų k., Pilviškių sen., Vilkaviškio r. sav.",Alksnėnai,LT-70478,Marijampole County,Lithuania,2021-03-12
627,"ŽŪK ""Sintautų pienas""",LT 84-07P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"P. Vaičaičio g. 65, Sintautų k., Sintautų sen., Šakių r. sav.",Sintautai,LT-71336,Marijampole County,Lithuania,2021-03-09
628,"ŽŪK ""Suvalkijos pienas""",LT 84-004,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Pergalės g. 10, Lukšių k., Lukšių sen., Šakių r. sav.",Lukšiai,LT-71177,Marijampole County,Lithuania,2021-03-09
629,ŽŪK DOBILO LAPAS,77-03 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Tauragės r. sav., Tauragės miesto sen., Tauragė  Švyturio g. 2",Tauragė,LT-72312,Taurage County,Lithuania,2021-03-17
630,ŽŪK DUSETŲ KRAŠTO GASPADORIAI,LT43-06EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | PP - Processing Plant,"Vytauto g. 70, Dusetos, Zarasų r. sav.",Dusetos,LT-32309,Utena County,Lithuania,2022-02-23
631,ŽŪK Pienas LT,19-52 P; 520001922,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | WM - Wholesale Market,"Kokybės g. 1, Biruliškių k., Kauno r.",Kaunas,LT-54469,Kaunas County,Lithuania,2021-03-18
632,ŽŪK Rešketėnai Žarėnų PSC,LT 78-022 P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Alytaus g.7, Žarėnai, Žarėnų sen., Telšių r. sav.,",Žarėnai,LT-88381,Telsiai County,Lithuania,2021-03-22
633,ŽŪK STRUČIŲ GENETIKOS CENTRAS,190004140; 190003366,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno m. sav., Kaunas, Europos pr. 38",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-19
634,“CASSIOPEA“ Reefer Vessel “RV“,21-16,1,FFP (Fishery products - EU),ZV - Freezer Vessel,"Naujoji uosto str. 8, Klaipėda",Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
635,“LIBRA“ Reefer Vessel “RV“,21-13,1,FFP (Fishery products - EU),ZV - Freezer Vessel,“LIBRA“ Reefer vessel “RV“,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
