stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
411,UAB Maisto ūkis,LT 01-11,1,RPM (Meat products),PP - Processing Plant,"Eišiškių pl. 26, Vilnius",Vilnius,02190,Vilnius County,Lithuania,2021-03-22
412,UAB Malenus,190007328,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Draugystės g. 19, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
413,UAB Mantinga,190006785; 520001870,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 96, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-18
414,UAB Meateksa,190012083,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 36, Kaunas",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-18
415,UAB Medaus avilys,520001372,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Terminalo g. 6, Biruliškių k., Karmėlavos sen., Kauno r.",Kaunas,LT-54469,Kaunas County,Lithuania,2021-03-19
416,UAB Medeivė,52-09,1,RPM (Meat products),PP - Processing Plant,"Paupio g. 59, Vaistariškių k., Karmėlavos sen., Kauno raj.",Vaistariškiai,LT-44103,Kaunas County,Lithuania,2021-03-17
417,UAB Medrokis,LT 01-24,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GM (Meat of farmed game)",MM - Minced Meat Plant | CP - Cutting Plant,"Eišiškių pl. 127, Vilnius",Vilnius,02189,Vilnius County,Lithuania,2021-03-22
418,UAB Megaprojektai,190000451,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
419,UAB Minriga,52-23,1,RM (Meat of domestic ungulates),CP - Cutting Plant,"Rytmečio g. 10, Voškoniai, Kauno raj.",Voškoniai,LT-54346,Kaunas County,Lithuania,2021-03-19
420,UAB Modepa,LT 01-28 EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | PP - Processing Plant,Strazdų g. 4,Vilnius,LT-14158,Vilnius County,Lithuania,2021-03-25
421,UAB Mėsinga,LT 41-13 EB,1,RPM (Meat products),PP - Processing Plant,A. Mickevičiaus g. 257,Buiniškės,LT-14202,Vilnius County,Lithuania,2021-03-25
422,UAB NIklita,190000248,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
423,UAB NNL LT,520001375,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,LT-53282,Kaunas County,Lithuania,2024-04-09
424,UAB NNL Procurement,520001210,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno r. sav., Garliavos apylinkių sen., Pagiriai, Marijampolės g. 27",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-19
425,UAB NORDNIX,LT 21-10EB,1,GEN (General activity establishment - EU),CS - Cold Stores,Nemuno g.24,Klaipėda,LT-93277,Klaipeda County,Lithuania,2024-08-30
426,UAB NORVELITA,72-09,1,FFP (Fishery products - EU),PP - Processing Plant,"PRAMONĖS G. 1, GABŠIŲ K., RASEINIŲ RAJ.",Gabšiai,LT-60180,Kaunas County,Lithuania,2023-06-01
427,UAB NOVIALIS,520002546,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagirių k., Kauno r.",Pagiriai,LT-53283,Kaunas County,Lithuania,2023-11-20
428,UAB NS TRADING,72-01,1,FFP (Fishery products - EU),PP - Processing Plant,"Pramonės g. 5, Raseinių sen.",Gabšiai,LT-60180,Kaunas County,Lithuania,2023-06-01
